filename,source,theme_reference,category,width,height,size_mb,url
20250423_1703_Floating_Boba_Explosion_simple_compose_01jsh6q5ppegr8fa9htrn7dr5x.png,files-only,unused,AI-generated variant,,,1.54,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250423_1703_Floating_Boba_Explosion_simple_compose_01jsh6q5ppegr8fa9htrn7dr5x.png
20250423_1855_Indian_Friends_with_Bubble_Tea_remix_01jshd3ytff8grh3b1v8zc8h7z.png,files-only,used,AI-generated variant,,,0.48,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250423_1855_Indian_Friends_with_Bubble_Tea_remix_01jshd3ytff8grh3b1v8zc8h7z.png
20250423_1855_Indian_Friends_with_Bubble_Tea_remix_01jshd3ytge7a9ha2yzwyk6v75.png,files-only,unused,AI-generated variant,,,2.86,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250423_1855_Indian_Friends_with_Bubble_Tea_remix_01jshd3ytge7a9ha2yzwyk6v75.png
20250423_1856_Indian_Friends_Enjoying_Bubble_Tea_remix_01jshd550qeee835cwywmbbv4h.png,files-only,used,AI-generated variant,,,2.76,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250423_1856_Indian_Friends_Enjoying_Bubble_Tea_remix_01jshd550qeee835cwywmbbv4h.png
20250425_1622_Kids_Sharing_Bubble_Tea_simple_compose_01jsp96y0ff0680dycmdsecvwd.png,files-only,used,AI-generated variant,,,2.31,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1622_Kids_Sharing_Bubble_Tea_simple_compose_01jsp96y0ff0680dycmdsecvwd.png
20250425_1710_Pink_Bubble_Tea_Delight_remix_01jspbwrcaeg4rnkxk5neggk63.png,files-only,unused,AI-generated variant,,,2.04,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1710_Pink_Bubble_Tea_Delight_remix_01jspbwrcaeg4rnkxk5neggk63.png
20250425_1728_Matcha_Bubble_Tea_remix_01jspcxknbe6mb2pvzejvg2w3z.png,files-only,unused,AI-generated variant,,,2.14,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1728_Matcha_Bubble_Tea_remix_01jspcxknbe6mb2pvzejvg2w3z.png
20250425_1747_Taro_Bubble_Tea_remix_01jspe16vtffpawawpa2r85msk_1.png,files-only,used,AI-generated variant,,,2.25,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1747_Taro_Bubble_Tea_remix_01jspe16vtffpawawpa2r85msk_1.png
20250425_1804_Bubble_Tea_Delight_remix_01jspezm06fc78cns6fwsjc1cd.png,files-only,used,AI-generated variant,,,2.13,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1804_Bubble_Tea_Delight_remix_01jspezm06fc78cns6fwsjc1cd.png
20250425_1809_Pink_Bubble_Tea_Delight_remix_01jspf8cdye0sat9f9dkn3g1a6.png,files-only,used,AI-generated variant,,,2.04,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1809_Pink_Bubble_Tea_Delight_remix_01jspf8cdye0sat9f9dkn3g1a6.png
20250425_1817_Rearranged_Nata_de_Coco_remix_01jspfqdykf0rr3xhz96rmev31.png,files-only,used,AI-generated variant,,,2.51,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1817_Rearranged_Nata_de_Coco_remix_01jspfqdykf0rr3xhz96rmev31.png
20250425_1821_Thai_Flavor_Bubble_Tea_remix_01jspfya9wf7y8yq1j61ea5zyx.png,files-only,used,AI-generated variant,,,2.3,https://cdn.shopify.com/s/files/1/0640/6134/1773/files/20250425_1821_Thai_Flavor_Bubble_Tea_remix_01jspfya9wf7y8yq1j61ea5zyx.png
